,data,rubrica,num_indice,trimestre,ano,Var. % interanual,Var. % anual,num_indice_acum,Var. % acumulada no ano
538,2010-10-01,PIB,163.55,2010.IV,2010,5.686591276252018,7.526899826561362,638.5699999999999,7.526899826561384
547,2011-01-01,PIB,160.45,2011.I,2011,5.192421163049876,6.553162032535065,160.45,5.192421163049876
556,2011-04-01,PIB,166.33,2011.II,2011,4.7022535565907075,5.613695090439275,326.78,4.9423552458331965
565,2011-07-01,PIB,169.41,2011.III,2011,3.532359591761902,4.758880226114304,496.18999999999994,4.456654456654441
574,2011-10-01,PIB,167.75,2011.IV,2011,2.5680220116172325,3.972939536777509,663.9399999999999,3.9729395367774867
583,2012-01-01,PIB,163.19,2012.I,2012,1.7076971019009068,3.1230181441321614,163.19,1.7076971019009068
592,2012-04-01,PIB,167.97,2012.II,2012,0.9859917032405408,2.195852957367417,331.15999999999997,1.3403513066895245
601,2012-07-01,PIB,173.63,2012.III,2012,2.490998170119818,1.9401582441567866,504.78999999999996,1.7332070376267161
610,2012-10-01,PIB,171.91,2012.IV,2012,2.4798807749627505,1.9218604090731173,676.6999999999999,1.9218604090731173
619,2013-01-01,PIB,167.63,2013.I,2013,2.720754948219861,2.168956620867557,167.63,2.720754948219861
628,2013-04-01,PIB,174.73,2013.II,2013,4.024528189557652,2.9297342590375974,342.36,3.3820509723396786
637,2013-07-01,PIB,178.42,2013.III,2013,2.758739849104419,2.996104320932602,520.78,3.1676538758691697
646,2013-10-01,PIB,176.26,2013.IV,2013,2.530393810714915,3.005763262893435,697.04,3.005763262893457
655,2014-01-01,PIB,173.45,2014.I,2014,3.4719322317007695,3.1887717649822678,173.45,3.4719322317007695
664,2014-04-01,PIB,173.97,2014.II,2014,-0.434956790476726,2.0642535252217042,347.41999999999996,1.4779763991120243
673,2014-07-01,PIB,177.28,2014.III,2014,-0.6389418226656174,1.19389625951003,524.6999999999999,0.7527170782287929
682,2014-10-01,PIB,175.86,2014.IV,2014,-0.22693747872459813,0.5049925398829425,700.56,0.5049925398829203
691,2015-01-01,PIB,170.64,2015.I,2015,-1.6200634188527019,-0.7270295649204672,170.64,-1.6200634188527019
700,2015-04-01,PIB,169.2,2015.II,2015,-2.7418520434557725,-1.2989602620709362,339.84,-2.181797248287376
709,2015-07-01,PIB,169.72,2015.III,2015,-4.264440433213002,-2.2169595982652446,509.55999999999995,-2.8854583571564674
718,2015-10-01,PIB,166.15,2015.IV,2015,-5.52143750710793,-3.5471622701838568,675.7099999999999,-3.5471622701838568
727,2016-01-01,PIB,161.87,2016.I,2016,-5.139474917955922,-4.415621640988887,161.87,-5.139474917955922
736,2016-04-01,PIB,163.75,2016.II,2016,-3.2210401891252904,-4.544142688100672,325.62,-4.184322033898291
745,2016-07-01,PIB,165.55,2016.III,2016,-2.456987980202674,-4.099676110997641,491.17,-3.608995996546027
754,2016-10-01,PIB,162.39,2016.IV,2016,-2.2630153475775017,-3.2780334758994334,653.56,-3.2780334758994223
763,2017-01-01,PIB,162.33,2017.I,2017,0.2841786618891673,-1.9372057456442993,162.33,0.2841786618891673
772,2017-04-01,PIB,165.04,2017.II,2017,0.7877862595419893,-0.9342544860844515,327.37,0.5374362754130502
781,2017-07-01,PIB,168.27,2017.III,2017,1.6430081546360498,0.1080143613460871,495.64,0.9100718692102383
790,2017-10-01,PIB,166.58,2017.IV,2017,2.5802081408953903,1.3250504926862305,662.22,1.3250504926862305
799,2018-01-01,PIB,165.42,2018.I,2018,1.9035298466087536,1.7262469037643946,165.42,1.9035298466087536
808,2018-04-01,PIB,167.71,2018.II,2018,1.61778962675716,1.9334360836855913,333.13,1.7594770443229324
817,2018-07-01,PIB,171.73,2018.III,2018,2.0562191715694844,2.037901007552856,504.86,1.8602211282382486
826,2018-10-01,PIB,169.17,2018.IV,2018,1.5548085004202017,1.7833952462927627,674.03,1.7833952462927627
835,2019-01-01,PIB,166.91,2019.I,2019,0.9007375166243614,1.5346229577189563,166.91,0.9007375166243614
844,2019-04-01,PIB,169.68,2019.II,2019,1.1746467115854697,1.423695320219176,336.59000000000003,1.0386335664755553
853,2019-07-01,PIB,173.64,2019.III,2019,1.1122110289407683,1.1855117359704348,510.23,1.063661213009559
862,2019-10-01,PIB,172.03,2019.IV,2019,1.6906070816338659,1.2210139014583898,682.26,1.2210139014583898
871,2020-01-01,PIB,167.6,2020.I,2020,0.41339644119584573,1.0998934154429207,167.6,0.41339644119584573
880,2020-04-01,PIB,152.48,2020.II,2020,-10.13672795851015,-1.7328669057845913,320.08,-4.905077393861978
889,2020-07-01,PIB,168.37,2020.III,2020,-3.0350149735083987,-2.784810126582271,488.45,-4.268663151911889
898,2020-10-01,PIB,171.46,2020.IV,2020,-0.3313375574027777,-3.2758772315539586,659.91,-3.2758772315539586
907,2021-01-01,PIB,170.53,2021.I,2021,1.748210023866359,-2.944578666080988,170.53,1.748210023866359
916,2021-04-01,PIB,171.38,2021.II,2021,12.395068205666316,2.401802478407822,341.90999999999997,6.8201699575106245
925,2021-07-01,PIB,175.46,2021.III,2021,4.210963948446866,4.29233284883721,517.37,5.920769781963364
934,2021-10-01,PIB,173.96,2021.IV,2021,1.4580660212294427,4.761255322695512,691.33,4.7612553226955345
943,2022-01-01,PIB,173.05,2022.I,2022,1.477745851169887,4.678353750528053,173.05,1.477745851169887
952,2022-04-01,PIB,177.45,2022.II,2022,3.5418368537752265,2.6667057822630458,350.5,2.51235705302566
961,2022-07-01,PIB,183.04,2022.III,2022,4.320072951099951,2.7103929852067887,533.54,3.125422811527523
970,2022-10-01,PIB,178.65,2022.IV,2022,2.6960220740400054,3.017372311341915,712.1899999999999,3.0173723113418927
979,2023-01-01,PIB,180.35,2023.I,2023,4.218433978618896,3.6953231966563305,180.35,4.218433978618896
988,2023-04-01,PIB,183.61,2023.II,2023,3.471400394477331,3.6761344153617426,363.96000000000004,3.840228245363786
997,2023-07-01,PIB,186.63,2023.III,2023,1.961319930069938,3.0727915194346256,550.59,3.195636690782333
1006,2023-10-01,PIB,182.31,2023.IV,2023,2.0486985726280382,2.907931872112779,732.9000000000001,2.907931872112801
1015,2024-01-01,PIB,184.78,2024.I,2024,2.4563349043526417,2.4795341144421723,184.78,2.4563349043526417
