,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
90,1,Brasil,30,Número-índice,120.80,1,Brasil,199802,2º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
91,1,Brasil,30,Número-índice,109.75,1,Brasil,199803,3º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
92,1,Brasil,30,Número-índice,103.69,1,Brasil,199803,3º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
93,1,Brasil,30,Número-índice,107.00,1,Brasil,199803,3º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
94,1,Brasil,30,Número-índice,106.73,1,Brasil,199803,3º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
95,1,Brasil,30,Número-índice,106.00,1,Brasil,199803,3º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
96,1,Brasil,30,Número-índice,103.87,1,Brasil,199803,3º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
97,1,Brasil,30,Número-índice,110.18,1,Brasil,199803,3º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
98,1,Brasil,30,Número-índice,113.87,1,Brasil,199803,3º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
99,1,Brasil,30,Número-índice,122.50,1,Brasil,199803,3º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
100,1,Brasil,30,Número-índice,107.48,1,Brasil,199804,4º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
101,1,Brasil,30,Número-índice,100.47,1,Brasil,199804,4º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
102,1,Brasil,30,Número-índice,107.06,1,Brasil,199804,4º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
103,1,Brasil,30,Número-índice,105.65,1,Brasil,199804,4º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
104,1,Brasil,30,Número-índice,104.61,1,Brasil,199804,4º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
105,1,Brasil,30,Número-índice,103.10,1,Brasil,199804,4º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
106,1,Brasil,30,Número-índice,105.21,1,Brasil,199804,4º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
107,1,Brasil,30,Número-índice,114.23,1,Brasil,199804,4º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
108,1,Brasil,30,Número-índice,115.44,1,Brasil,199804,4º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
109,1,Brasil,30,Número-índice,112.00,1,Brasil,199901,1º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
110,1,Brasil,30,Número-índice,99.73,1,Brasil,199901,1º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
111,1,Brasil,30,Número-índice,107.87,1,Brasil,199901,1º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
112,1,Brasil,30,Número-índice,105.82,1,Brasil,199901,1º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
