,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
100,1,Brasil,2,%,0.16,1,Brasil,202210,outubro 2022,355,IPCA15 - Variação mensal
101,1,Brasil,2,%,0.53,1,Brasil,202211,novembro 2022,355,IPCA15 - Variação mensal
102,1,Brasil,2,%,0.52,1,Brasil,202212,dezembro 2022,355,IPCA15 - Variação mensal
103,1,Brasil,2,%,0.55,1,Brasil,202301,janeiro 2023,355,IPCA15 - Variação mensal
104,1,Brasil,2,%,0.76,1,Brasil,202302,fevereiro 2023,355,IPCA15 - Variação mensal
105,1,Brasil,2,%,0.69,1,Brasil,202303,março 2023,355,IPCA15 - Variação mensal
106,1,Brasil,2,%,0.57,1,Brasil,202304,abril 2023,355,IPCA15 - Variação mensal
107,1,Brasil,2,%,0.51,1,Brasil,202305,maio 2023,355,IPCA15 - Variação mensal
108,1,Brasil,2,%,0.04,1,Brasil,202306,junho 2023,355,IPCA15 - Variação mensal
109,1,Brasil,2,%,-0.07,1,Brasil,202307,julho 2023,355,IPCA15 - Variação mensal
110,1,Brasil,2,%,0.28,1,Brasil,202308,agosto 2023,355,IPCA15 - Variação mensal
111,1,Brasil,2,%,0.35,1,Brasil,202309,setembro 2023,355,IPCA15 - Variação mensal
112,1,Brasil,2,%,0.21,1,Brasil,202310,outubro 2023,355,IPCA15 - Variação mensal
113,1,Brasil,2,%,0.33,1,Brasil,202311,novembro 2023,355,IPCA15 - Variação mensal
114,1,Brasil,2,%,0.40,1,Brasil,202312,dezembro 2023,355,IPCA15 - Variação mensal
115,1,Brasil,2,%,0.31,1,Brasil,202401,janeiro 2024,355,IPCA15 - Variação mensal
116,1,Brasil,2,%,0.78,1,Brasil,202402,fevereiro 2024,355,IPCA15 - Variação mensal
117,1,Brasil,2,%,0.36,1,Brasil,202403,março 2024,355,IPCA15 - Variação mensal
118,1,Brasil,2,%,0.21,1,Brasil,202404,abril 2024,355,IPCA15 - Variação mensal
119,1,Brasil,2,%,0.44,1,Brasil,202405,maio 2024,355,IPCA15 - Variação mensal
120,1,Brasil,2,%,0.39,1,Brasil,202406,junho 2024,355,IPCA15 - Variação mensal
