,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
42,1,Brasil,30,Número-índice,0.0000000868097,1,Brasil,198305,maio 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
43,1,Brasil,30,Número-índice,0.0000000953868,1,Brasil,198306,junho 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
44,1,Brasil,30,Número-índice,0.0000001050003,1,Brasil,198307,julho 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
45,1,Brasil,30,Número-índice,0.0000001145671,1,Brasil,198308,agosto 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
46,1,Brasil,30,Número-índice,0.0000001263682,1,Brasil,198309,setembro 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
47,1,Brasil,30,Número-índice,0.0000001375727,1,Brasil,198310,outubro 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
48,1,Brasil,30,Número-índice,0.0000001477314,1,Brasil,198311,novembro 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
49,1,Brasil,30,Número-índice,0.0000001605502,1,Brasil,198312,dezembro 1983,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
50,1,Brasil,30,Número-índice,0.0000001760737,1,Brasil,198401,janeiro 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
51,1,Brasil,30,Número-índice,0.0000001928020,1,Brasil,198402,fevereiro 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
52,1,Brasil,30,Número-índice,0.0000002100357,1,Brasil,198403,março 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
53,1,Brasil,30,Número-índice,0.0000002300794,1,Brasil,198404,abril 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
54,1,Brasil,30,Número-índice,0.0000002509021,1,Brasil,198405,maio 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
55,1,Brasil,30,Número-índice,0.0000002761935,1,Brasil,198406,junho 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
56,1,Brasil,30,Número-índice,0.0000003030524,1,Brasil,198407,julho 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
57,1,Brasil,30,Número-índice,0.0000003313854,1,Brasil,198408,agosto 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
58,1,Brasil,30,Número-índice,0.0000003703168,1,Brasil,198409,setembro 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
59,1,Brasil,30,Número-índice,0.0000004089675,1,Brasil,198410,outubro 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
60,1,Brasil,30,Número-índice,0.0000004520168,1,Brasil,198411,novembro 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
61,1,Brasil,30,Número-índice,0.0000005061559,1,Brasil,198412,dezembro 1984,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
62,1,Brasil,30,Número-índice,0.0000005656761,1,Brasil,198501,janeiro 1985,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
63,1,Brasil,30,Número-índice,0.0000006271382,1,Brasil,198502,fevereiro 1985,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
64,1,Brasil,30,Número-índice,0.0000006908698,1,Brasil,198503,março 1985,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
65,1,Brasil,30,Número-índice,0.0000007474889,1,Brasil,198504,abril 1985,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
66,1,Brasil,30,Número-índice,0.0000008012770,1,Brasil,198505,maio 1985,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
67,1,Brasil,30,Número-índice,0.0000008693369,1,Brasil,198506,junho 1985,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
