data,variavel,grupo,ipca_acum_ano
2020-01-01,IPCA % acum. ano,2103042.Mão de obra,0.21
2020-01-01,IPCA % acum. ano,2103048.Areia,0.66
2020-01-01,IPCA % acum. ano,2103049.Pedras,-1.86
2020-01-01,IPCA % acum. ano,2103055.Telha,-0.49
2020-01-01,IPCA % acum. ano,2104.Artigos de limpeza,0.23
2020-01-01,IPCA % acum. ano,2104003.Saco para lixo,-0.91
2020-01-01,IPCA % acum. ano,2104005.Água sanitária,0.9
2020-01-01,IPCA % acum. ano,2104008.Detergente,-0.08
2020-01-01,IPCA % acum. ano,2104009.Sabão em pó,0.35
2020-01-01,IPCA % acum. ano,2104012.Desinfetante,-1.21
2020-01-01,IPCA % acum. ano,2104015.Sabão em barra,-0.02
2020-01-01,IPCA % acum. ano,2104016.Esponja de limpeza,-1.74
2020-01-01,IPCA % acum. ano,2104019.Sabão líquido,-2.42
2020-01-01,IPCA % acum. ano,2104020.Limpador multiuso,-1.39
2020-01-01,IPCA % acum. ano,2104041.Papel toalha,-1.93
2020-01-01,IPCA % acum. ano,2104085.Amaciante e alvejante,1.15
2020-01-01,IPCA % acum. ano,22.Combustíveis e energia,0.31
2020-01-01,IPCA % acum. ano,2201.Combustíveis (domésticos),0.84
2020-01-01,IPCA % acum. ano,2201003.Carvão vegetal,-1.13
2020-01-01,IPCA % acum. ano,2201004.Gás de botijão,0.87
2020-01-01,IPCA % acum. ano,2201005.Gás encanado,0.64
2020-01-01,IPCA % acum. ano,2202.Energia elétrica residencial,0.16
2020-01-01,IPCA % acum. ano,2202003.Energia elétrica residencial,0.16
2020-01-01,IPCA % acum. ano,3.Artigos de residência,-0.07
2020-01-01,IPCA % acum. ano,31.Móveis e utensílios,-0.19
2020-01-01,IPCA % acum. ano,3101.Mobiliário,-0.39
2020-01-01,IPCA % acum. ano,3101002.Móvel para sala,-1.24
2020-01-01,IPCA % acum. ano,3101003.Móvel para quarto,0.26
2020-01-01,IPCA % acum. ano,3101015.Móvel para copa e cozinha,-0.22
